Empleado1,Empleado2,similarity
Empleado10638,Empleado6210,1.0
Empleado10639,Empleado6169,1.0
Empleado1064,Empleado12435,1.0
Empleado10640,Empleado5052,1.0
Empleado10641,Empleado4420,1.0
Empleado10642,Empleado62,1.0
Empleado10643,Empleado12854,1.0
Empleado10644,Empleado5882,1.0
Empleado10645,Empleado9960,1.0
Empleado10646,Empleado5952,1.0
Empleado10647,Empleado9031,1.0
Empleado10648,Empleado7386,1.0
Empleado10649,Empleado7238,1.0
Empleado1065,Empleado13,1.0
Empleado10650,Empleado7267,1.0
Empleado10651,Empleado2472,1.0
Empleado10652,Empleado12863,1.0
Empleado10653,Empleado11144,1.0
Empleado10654,Empleado12489,1.0
Empleado10655,Empleado3833,1.0
Empleado10656,Empleado11123,1.0
Empleado10657,Empleado8162,1.0
Empleado10658,Empleado9176,1.0
Empleado10659,Empleado9333,1.0
Empleado1066,Empleado12407,1.0
Empleado10660,Empleado13763,1.0
Empleado10661,Empleado1726,1.0
Empleado10662,Empleado11005,1.0
Empleado10663,Empleado7479,1.0
Empleado10664,Empleado11188,1.0
Empleado10665,Empleado8420,1.0
Empleado10666,Empleado13318,1.0
Empleado10667,Empleado5728,1.0
Empleado10668,Empleado13940,1.0
Empleado10669,Empleado2356,1.0
Empleado1067,Empleado8959,1.0
Empleado10670,Empleado5378,1.0
Empleado10671,Empleado6627,1.0
Empleado10672,Empleado2747,1.0
Empleado10673,Empleado319,1.0
Empleado10674,Empleado435,1.0
Empleado10675,Empleado8667,1.0
Empleado10676,Empleado5015,1.0
Empleado10677,Empleado12373,1.0
Empleado10678,Empleado2794,1.0
Empleado10679,Empleado9110,1.0
Empleado1068,Empleado659,1.0
Empleado10680,Empleado13155,1.0
Empleado10681,Empleado13731,1.0
Empleado10682,Empleado2322,1.0
Empleado10683,Empleado3314,1.0
Empleado10684,Empleado4493,1.0
Empleado10685,Empleado9929,1.0
Empleado10686,Empleado14936,1.0
Empleado10687,Empleado11563,1.0
Empleado10688,Empleado6053,1.0
Empleado10689,Empleado5273,1.0
Empleado1069,Empleado12302,1.0
Empleado10690,Empleado11712,1.0
Empleado10691,Empleado4828,1.0
Empleado10692,Empleado12227,1.0
Empleado10693,Empleado3645,1.0
Empleado10694,Empleado3492,1.0
Empleado10695,Empleado10227,1.0
Empleado10696,Empleado2337,1.0
Empleado10697,Empleado13176,1.0
Empleado10698,Empleado290,1.0
Empleado10699,Empleado10845,1.0
Empleado1070,Empleado12851,1.0
Empleado10700,Empleado1551,1.0
